#
#  10403s_rastcyc 1.0.2.1 Pathways link table generated on Wed Oct 28, 2015
#
PWYAB3-3232	D-chiro-inositol degradation	
PWYAB3-3372	myo-inositol degradation	
ANAGLYCOLYSIS-PWY	glycolysis III (glucokinase)	anaerobic glycolysis	Embden-Meyerhof-Parnas pathway	EMP pathway
PWY-5484	glycolysis II (from fructose-6P)	
GLYCOLYSIS	glycolysis I	Embden-Meyerhof pathway	glucose degradation	Embden-Meyerhof-Parnas pathway	EMP pathway	glycolysis (plastidic)
P21-PWY	pentose phosphate pathway (partial)	pentose phosphate pathway, Mycoplasma pneumonia
OXIDATIVEPENT-PWY	pentose phosphate pathway (oxidative branch)	
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch)	
PENTOSE-P-PWY	pentose phosphate pathway	pentose shunt	hexose monophosphate shunt	phosphogluconate pathway	superpathway of oxidative and non-oxidative branches of pentose phosphate pathway
P122-PWY	heterolactic fermentation	lactate heterofermentation	glucose fermentation to lactate	phosphoketolase pathway
PWY-5497	purine nucleotides degradation IV (anaerobic)	purine fermentation
FERMENTATION-PWY	mixed acid fermentation	fermentation
ANAEROFRUCAT-PWY	homolactic fermentation	anaerobic fructose catabolism	anaerobic fructose degradation	fructose fermentation to lactate
PWY-5676	acetyl-CoA fermentation to butyrate II	
PWY-5939	(<i>R</i>)-acetoin biosynthesis II	D-acetoin biosynthesis II
PWY-5485	pyruvate fermentation to acetate IV	
PWY-5481	pyruvate fermentation to lactate	
PWY-5480	pyruvate fermentation to ethanol I	
CENTFERM-PWY	pyruvate fermentation to butanoate	central fermentation pathway	acetobutylicum fermentation	pyruvate fermentation to butyrate
PWY-6590	superpathway of <i>Clostridium acetobutylicum</i> acidogenic fermentation	acetobutylicum acidogenic fermentation
PWY-5100	pyruvate fermentation to acetate and lactate II	
PWY0-1312	acetate formation from acetyl-CoA I	
PWY-3781	aerobic respiration (cytochrome c)	aerobic respiration -- electron donor II
PWY0-1334	NADH to cytochrome <i>bd</i> oxidase electron transfer	
PWY-1881	formate oxidation to CO<sub>2</sub>	
PWY-5046	2-oxoisovalerate decarboxylation to isobutanoyl-CoA	2-oxo acid dehydrogenase complex	branched-chain &alpha;-keto acid dehydrogenase complex
ANARESP1-PWY	respiration (anaerobic)	anaerobic respiration
PYRUVDEHYD-PWY	pyruvate decarboxylation to acetyl CoA	pyruvate dehydrogenase complex	acetyl-CoA biosynthesis I (pyruvate dehydrogenase complex)
PWY-6772	hydrogen production V	
PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing)	
PWY-6612	superpathway of tetrahydrofolate biosynthesis	folic acid biosynthesis	folate biosynthesis	THF biosynthesis
FOLSYN-PWY	superpathway of tetrahydrofolate biosynthesis and salvage	
