#
#  10403s_rastcyc 1.0.2.1 Reactions link table generated on Wed Oct 28, 2015
#
RXN-10911	EC-1.1.1.1
RXN-8847	
ARGDECARBOX-RXN	EC-4.1.1.19
1.1.1.251-RXN	EC-1.1.1.251
3.4.21.89-RXN	EC-3.4.21.89
RXN0-303	EC-5.3.1
TRANS-RXN-141A	
TRE6PHYDRO-RXN	EC-3.2.1.93
RXN-12420	EC-3.2.1.176
2.1.1.131-RXN	EC-2.1.1.131
RXN-9987	EC-3.2.1
RXN-11302	EC-3.4.16.4
FMNREDUCT-RXN	EC-1.5.1.39
ANTHRANSYN-RXN	EC-4.1.3.27
RXN-7605	EC-2.1.1
PRPPAMIDOTRANS-RXN	EC-2.4.2.14
ACETYL-COA-ACETYLTRANSFER-RXN	EC-2.3.1.9
PROTOPORGENOXI-RXN	EC-1.3.3.4
GLUCOKIN-RXN	EC-2.7.1.2
ACYLCOADEHYDROG-RXN	EC-1.3.8
TRANS-RXN-143	
PYRIMSYN1-RXN	EC-4.1.99.17
TRANS-RXN-2	EC-3.6.3.12
ERYTHRON4PDEHYDROG-RXN	EC-1.1.1.290
GDPKIN-RXN	EC-2.7.4.6
CARBAMATE-KINASE-RXN	EC-2.7.2.2
RXN-1623	EC-2.3.1.51
PHOSNACMURPENTATRANS-RXN	EC-2.7.8.13
TRANS-RXN-139	
3.4.21.92-RXN	EC-3.4.21.92
ACETYLORNDEACET-RXN	EC-3.5.1.16
RXN-9927	EC-1.1.5.3
3.1.11.6-RXN	EC-3.1.11.6
1PFRUCTPHOSN-RXN	EC-2.7.1.56
ABC-24-RXN	EC-3.6.3.31
NAD-KIN-RXN	EC-2.7.1.23
GLYOXI-RXN	EC-4.4.1.5
NUCLEOTIDE-PYROPHOSPHATASE-RXN	EC-3.6.1.9
RXN0-5182	EC-2.4.1.1
DIHYDROOROT-RXN	EC-3.5.2.3
2.5.1.64-RXN	EC-2.2.1.9
RXN0-5146	EC-3.2.1.33
TEICHOICSYN2-RXN	EC-2.4.1.187
RXN0-4222	EC-3.1.13.1
AMYLOMALT-RXN	EC-2.4.1.25
AIRS-RXN	EC-6.3.3.1
GLUTCYSLIG-RXN	EC-6.3.2.2
ABC-13-RXN	EC-3.6.3.21
R345-RXN	EC-6.3.5.10
GLYCDEH-RXN	EC-1.1.1.6
BADH-RXN	EC-1.2.1.8
DXPREDISOM-RXN	EC-1.1.1.267
RXN-8975	EC-2.7.8.13
RXN-9958	EC-1.2.1.18
3.5.1.87-RXN	EC-3.5.1.87
