GeneID:ID|Synonyms:String[]|Description|Source|:Label
PCYC:LMRG_02457|LMRG_02457|hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_02934|LMRG_02934|hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_02008|LMRG_02008|hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_01025|LMRG_01025|hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_02892|LMRG_02892|hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_00137|LMRG_00137;lmo0445|positive transcription regulator|PlantCyc_Gene|Gene
PCYC:LMRG_02937|LMRG_02937|hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_02984|LMRG_02984|hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_02908|LMRG_02908|hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_01503|LMRG_01503|hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_01056|LMRG_01056|hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_01557|LMRG_01557|hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_02120|LMRG_02120|hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_02891|LMRG_02891|hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_00152|LMRG_00152|hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_01910|LMRG_01910|FIG007563: PTS system, beta-glucoside-specific IIB component (EC 2.7.1.69) / PTS system, beta-glucoside-specific IIC component (EC 2.7.1.69) / PTS system, beta-glucoside-specific IIA component (EC 2.7.1.69)|PlantCyc_Gene|Gene
PCYC:LMRG_02921|LMRG_02921|FIG218429: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_00308|LMRG_00308|FIG007867: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_02286|LMRG_02286|FIG008664: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_02094|LMRG_02094;lmo0994|hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_00071|LMRG_00071|FIG025041: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_02467|LMRG_02467|Agmatine deiminase (EC 3.5.3.12)|PlantCyc_Gene|Gene
PCYC:LMRG_01734|yviA;degV|DegV family protein|PlantCyc_Gene|Gene
PCYC:LMRG_00134|LMRG_00134|FIG007608: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_02288|LMRG_02288|FIG013965: phosphoglucomutase/phosphomannomutase family protein|PlantCyc_Gene|Gene
PCYC:LMRG_01704|LMRG_01704|FIG000188: Peptide chain release factor 1|PlantCyc_Gene|Gene
PCYC:LMRG_02365|LMRG_02365|LmaC, associated with virulence in Listeria|PlantCyc_Gene|Gene
PCYC:LMRG_00092|LMRG_00092|FIG007006: PTS system, IIB component|PlantCyc_Gene|Gene
PCYC:LMRG_00252|LMRG_00252|Histidinol-phosphatase (EC 3.1.3.15)|PlantCyc_Gene|Gene
PCYC:LMRG_02833|LMRG_02833|FIG008706: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_00263|LMRG_00263|LSU m5C1962 methyltransferase RlmI|PlantCyc_Gene|Gene
PCYC:LMRG_00722|rbgA;ylqF|ribosome biogenesis GTP-binding protein RbgA|PlantCyc_Gene|Gene
PCYC:LMRG_02767|LMRG_02767|FIG002359: Regulatory protein recX|PlantCyc_Gene|Gene
PCYC:LMRG_01346|LMRG_01346|FIG002446: Xaa-His dipeptidase (EC 3.4.13.3)|PlantCyc_Gene|Gene
PCYC:LMRG_00164|LMRG_00164|FIG008329: Transcriptional regulator, AraC family|PlantCyc_Gene|Gene
PCYC:LMRG_00518|LMRG_00518|FIG008948: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_02084|LMRG_02084|FIG006890: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_00808|LMRG_00808|FIG004429: Alkaline shock protein|PlantCyc_Gene|Gene
PCYC:LMRG_00902|LMRG_00902|ATP-dependent RNA helicase YqfR|PlantCyc_Gene|Gene
PCYC:LMRG_02266|LMRG_02266|cytochrome c oxidase, subunit IV|PlantCyc_Gene|Gene
PCYC:LMRG_01846|LMRG_01846|Hypothetical DUF1027 domain protein|PlantCyc_Gene|Gene
