CPLXAB3-18			predicted ATP-driven transporter complex of a standard alpha amino acid	
CPLXAB3-24			predicted ATP-driven transporter complex of MN+2	
CPLXAB3-16			predicted ATP-driven transporter complex of L-methionine	
CPLXAB3-12			predicted transporter complex of dihydroxyacetone	
CPLXAB3-4			predicted ATP-driven transporter complex of multidrug	
CPLXAB3-20			predicted ATP-driven transporter complex of Fe3+/a siderophore	
CPLXAB3-6			predicted ATP-driven transporter complex of CYSTINE	
CPLXAB3-2			AA3-600 quinol oxidase	Qox
CPLXAB3-25			predicted ATP-driven transporter complex of a sugar	
CPLXAB3-14			predicted ATP-driven transporter complex of CPD-12541	
CPLXAB3-1			DNA gyrase	
CPLXAB3-26			predicted ATP-driven transporter complex of an oligopeptide	
CPLXAB3-7			predicted transporter complex of D-mannose/Fructose/a sorbose	
CPLXAB3-13			predicted ATP-driven transporter complex of K+	
CPLXAB3-9			predicted ATP-driven transporter complex of Zn2+	
CPLXAB3-19			predicted ATP-driven transporter complex of a monosaccharide	
CPLXAB3-17			predicted ATP-driven transporter complex of a standard alpha amino acid	
CPLXAB3-15			predicted ATP-driven transporter complex of L-methionine	
CPLXAB3-23			predicted transporter complex of a beta-glucoside	
CPLXAB3-22			predicted transporter complex of a beta-glucoside	
CPLXAB3-10			predicted ATP-driven transporter complex of maltose/a maltodextrin	
CPLXAB3-3			predicted ATP-driven transporter complex of spermidine/putrescine	
CPLXAB3-8			predicted ATP-driven transporter complex of Zn2+	
CPLXAB3-21			predicted ATP-driven transporter complex of CARNITINE/choline	
CPLXAB3-11			predicted transporter complex of dihydroxyacetone	
CPLXAB3-5			predicted ATP-driven transporter complex of glycine betaine	
LMRG_00475-MONOMER	LMRG_00475		D-serine/D-alanine/glycine transporter	
LMRG_00547-MONOMER	LMRG_00547		CDP-ribitol:poly(ribitol phosphate) ribitol phosphotransferase	
LMRG_01799-MONOMER	LMRG_01799		3'-to-5' exoribonuclease RNase R	
LMRG_00065-MONOMER	LMRG_00065		FIG029916: PTS system, cellobiose-specific IIC component (EC 2.7.1.69)	
LMRG_02042-MONOMER	LMRG_02042		FIG007565: hypothetical protein	
LMRG_01553-MONOMER	LMRG_01553		Holin [Bacteriophage A118]	
LMRG_01322-MONOMER	LMRG_01322		FIG008821: helicase, Snf2 family	
LMRG_01723-MONOMER	LMRG_01723		MreB-like protein (Mbl protein)	
LMRG_02790-MONOMER	LMRG_02790		Spermidine Putrescine transport ATP-binding protein potA (TC_3.A.1.11.1)	
LMRG_00410-MONOMER	LMRG_00410		FIG008617: fibronectin-binding protein	
LMRG_01287-MONOMER	LMRG_01287		FIG000660: Cystathionine gamma-synthase (EC 2.5.1.48)	
LMRG_01607-MONOMER	LMRG_01607		Fumarate hydratase class II (EC 4.2.1.2)	
LMRG_01920-MONOMER	LMRG_01920		FIG014154: drug resistance transporter, Bcr/CflA family	
LMRG_02512-MONOMER	LMRG_02512		ATP-dependent DNA helicase UvrD/PcrA	
LMRG_00837-MONOMER	LMRG_00837		FIG003719: membrane protein	
LMRG_01269-MONOMER	LMRG_01269		Bacitracin export permease protein BceB	
LMRG_02086-MONOMER	LMRG_02086		FIG003612: ABC transporter, ATP-binding protein	
LMRG_00753-MONOMER	LMRG_00753		ABC transport protein, sugar-binding component yneA	
LMRG_00810-MONOMER	LMRG_00810		Methylenetetrahydrofolate dehydrogenase (NADP+) (EC 1.5.1.5) / Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)	
LMRG_00045-MONOMER	LMRG_00045		FIG007262: long-chain acyl-CoA synthetase	
LMRG_00011-MONOMER	LMRG_00011		FIG000407: Thiamin-phosphate pyrophosphorylase (EC 2.5.1.3)	
LMRG_00974-MONOMER	LMRG_00974		Guanylate kinase (EC 2.7.4.8)	
LMRG_02539-MONOMER	LMRG_02539		ABC transporter, permease protein	
LMRG_02019-MONOMER	LMRG_02019		FIG008989: ABC transporter, ATP-binding protein	
LMRG_01634-MONOMER	LMRG_01634		FIG000055: Tryptophanyl-tRNA synthetase (EC 6.1.1.2)	
LMRG_00774-MONOMER	LMRG_00774		ribosomal protein L7Ae family protein	
LMRG_01896-MONOMER	LMRG_01896		N-acetylmannosamine-6-phosphate 2-epimerase (EC 5.1.3.9)	
LMRG_02583-MONOMER	LMRG_02583		Two-component sensor histidine kinase YycG	YycG
LMRG_00488-MONOMER	LMRG_00488		Blue-light photoreceptor	
LMRG_01624-MONOMER	LMRG_01624		FIG006823: hydrolase, haloacid dehalogenase-like family	
LMRG_00449-MONOMER	LMRG_00449		FIG039067: Nitrilotriacetate monooxygenase component B (EC 1.14.13.-)	
LMRG_02366-MONOMER	LMRG_02366		Listeria protein LmaB, associated with virulence	
LMRG_02714-MONOMER	LMRG_02714		FIG004129: General stress protein 13	
LMRG_00177-MONOMER	LMRG_00177		FIG011171: hypothetical protein	
LMRG_01593-MONOMER	LMRG_01593		FIG009348: membrane protein	
LMRG_00397-MONOMER	LMRG_00397		FIG000784: Flagellar biosynthesis protein FliS	
LMRG_01847-MONOMER	LMRG_01847		Hypothetical NagD-like phosphatase	
LMRG_01592-MONOMER	LMRG_01592		FIG003612: ABC transporter, ATP-binding protein	
LMRG_02684-MONOMER	LMRG_02684		Two-component response regulator colocalized with HrtAB transporter	
LMRG_01989-MONOMER	LMRG_01989		FIG029916: PTS system, cellobiose-specific IIC component (EC 2.7.1.69)	
LMRG_01176-MONOMER	LMRG_01176		Internalin-like protein Lmo2470 homolog	
LMRG_00781-MONOMER	LMRG_00781		Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8)	
LMRG_02434-MONOMER	LMRG_02434		DNA gyrase subunit B	GyrB
LMRG_02227-MONOMER	LMRG_02227		Potassium-transporting ATPase A chain (EC 3.6.3.12) (TC 3.A.3.7.1)	
LMRG_01784-MONOMER	LMRG_01784		FIG009171: Transcriptional regulator, TetR family	
LMRG_02932-MONOMER	LMRG_02932		FIG042543: hypothetical protein	
LMRG_01450-MONOMER	LMRG_01450		FIG000087: Histidyl-tRNA synthetase (EC 6.1.1.21)	
LMRG_01736-MONOMER	LMRG_01736		ComF operon protein C	
LMRG_02545-MONOMER	LMRG_02545		FIG005052: oxidoreductase, Gfo/Idh/MocA family	
LMRG_01499-MONOMER	LMRG_01499		FIG007313: glutaredoxin family protein	
LMRG_01863-MONOMER	LMRG_01863		Sugar phosphate isomerases/epimerases family protein YcjR	
LMRG_02616-MONOMER	LMRG_02616		FIG007923: ABC transporter, ATP-binding protein	
LMRG_02805-MONOMER	LMRG_02805		FIG004887: PTS system, fructose-specific IIBC component (EC 2.7.1.69)	
LMRG_00349-MONOMER	LMRG_00349		FIG172611: Novel pyridoxal kinase, thiD family (EC 2.7.1.35)	
LMRG_00650-MONOMER	LMRG_00650		Substrate-specific component CbiM of cobalt ECF transporter	
LMRG_01396-MONOMER	LMRG_01396		FIG058830: 6-phosphofructokinase (EC 2.7.1.11)	
LMRG_01824-MONOMER	LMRG_01824		FIG006896: hypothetical protein	
LMRG_02976-MONOMER	LMRG_02976		Membrane component of multidrug resistance system	
LMRG_02125-MONOMER	LMRG_02125		FIG014420: hypothetical protein	
LMRG_02506-MONOMER	LMRG_02506		IMP cyclohydrolase (EC 3.5.4.10) / Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3)	
LMRG_00396-MONOMER	LMRG_00396		Flagellar hook-associated protein FliD	FliD
LMRG_00218-MONOMER	LMRG_00218		glycosyl hydrolase, family 4	
LMRG_02505-MONOMER	LMRG_02505		Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2)	
LMRG_01717-MONOMER	LMRG_01717		ATP synthase alpha chain (EC 3.6.3.14)	
LMRG_02378-MONOMER	LMRG_02378		FIG001385: N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)	
LMRG_02327-MONOMER	LMRG_02327		ADA regulatory protein / Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63)	
LMRG_01758-MONOMER	LMRG_01758		FIG007879: hypothetical protein	
LMRG_02294-MONOMER	LMRG_02294		hypothetical protein	
LMRG_01833-MONOMER	LMRG_01833		FIG018727: Iron-sulfur cluster assembly ATPase protein SufC	
LMRG_02815-MONOMER	LMRG_02815		FIG007423: hypothetical protein	
